Category,Line item,Typical % of budget,Estimate,Quoted,Vendor,Deposit paid,Balance due,Balance due date,Notes
Venue & catering,Venue rental,,,,,,,,Confirm what's included: tables/chairs/linens/setup/breakdown
Venue & catering,Catering (per person x final count),,,,,,,,"Final count due 7-14 days out; add 6-10 vendor meals"
Venue & catering,Bar / alcohol,,,,,,,,"~770 servings over 5 hrs at 154 guests; check corkage vs package"
Venue & catering,Service charges & tax,,,,,,,,"Service charge is often NOT gratuity - read the contract"
Venue & catering,(subtotal target 40-50%),40-50%,,,,,,,
Photo & video,Photographer,,,,,,,,Hours of coverage + second shooter + delivery timeline in writing
Photo & video,Videographer,,,,,,,,
Photo & video,(subtotal target 10-12%),10-12%,,,,,,,
Flowers & decor,Florist (personals + ceremony + 16-20 centerpieces),,,,,,,,Centerpiece count driven by table count
Flowers & decor,Rentals / decor / lighting,,,,,,,,
Flowers & decor,(subtotal target 8-10%),8-10%,,,,,,,
Music,Ceremony music,,,,,,,,
Music,Reception band or DJ,,,,,,,,Confirm overtime rate and hard-stop curfew
Music,(subtotal target 5-10%),5-10%,,,,,,,
Planning,Planner / day-of coordinator,,,,,,,,Strongly recommended at 154 guests
Planning,(subtotal target 5-10%),5-10%,,,,,,,
Attire & beauty,Dress / suit + alterations,,,,,,,,Alterations often cost extra and take months
Attire & beauty,Hair & makeup (incl. trial),,,,,,,,
Attire & beauty,(subtotal target 5-8%),5-8%,,,,,,,
Stationery,Save-the-dates,,,,,,,,~85-100 households
Stationery,Invitation suites + postage,,,,,,,,Order 10-15 extra; weigh a stuffed suite before buying stamps
Stationery,Day-of paper (programs/menus/place cards/signage),,,,,,,,
Stationery,(subtotal target 2-3%),2-3%,,,,,,,
Cake,Cake / desserts (154 servings),1-2%,,,,,,,Display cake + sheet cakes saves real money
Transportation,Couple + wedding party,,,,,,,,
Transportation,Guest shuttles (2-3 coach runs if needed),,,,,,,,
Transportation,(subtotal target 2-3%),2-3%,,,,,,,
Ceremony,Officiant + marriage license,1-2%,,,,,,,License validity window varies by state
Rings,Wedding bands,,,,,,,,
Extras,Favors / welcome bags / kids table,,,,,,,,
Extras,Rehearsal dinner,,,,,,,,Often a separate budget - decide whose
Gratuities,Tips (cash envelopes day-of),,,,,,,,Caterer staff / HMU / drivers / band per local norms
Contingency,HELD BACK - do not allocate,8-10%,,,,,,,Weddings have change orders too
TOTAL,,100%,,,,,,,
