id,title,description,link,price,availability,condition,brand,product_category,unit,standard,fulfillment_lead
MVS-RG-1000,Non-Penetrating Roof Guardrail — 10 ft Section,"Top rail 42 in ±3 in, withstands 200 lb applied outward or downward. No roof penetration — counterweighted base.",https://mistyvalleysupply.com/#/p/MVS-RG-1000,289.00 USD,in_stock,new,Misty Valley Supply,Roof Safety,section,OSHA 1926.502(b),3–5 days
MVS-RG-BASE,Guardrail Counterweight Base — 90 lb,Rubber-footed cast base. Spacing per manufacturer's engineered layout — do not eyeball it.,https://mistyvalleysupply.com/#/p/MVS-RG-BASE,148.00 USD,in_stock,new,Misty Valley Supply,Roof Safety,each,OSHA 1926.502(b),3–5 days
MVS-WL-600,Warning Line System — 600 ft Kit,"Stanchions plus line. Erected not less than 6 ft from edge, flagged at 6 ft intervals, 34–39 in high.",https://mistyvalleysupply.com/#/p/MVS-WL-600,1240.00 USD,in_stock,new,Misty Valley Supply,Roof Safety,kit,OSHA 1926.502(f),5–7 days
MVS-SKY-48,Skylight Screen — 4 ft × 8 ft,Covers capable of supporting twice the maximum intended load. Marked HOLE or COVER.,https://mistyvalleysupply.com/#/p/MVS-SKY-48,412.00 USD,made_to_order,new,Misty Valley Supply,Roof Safety,each,OSHA 1926.502(i),7–10 days
MVS-ANC-DL,Reusable Roof Anchor — Standing Seam Clamp,"5,000 lb anchorage per attached worker, or engineered to 2:1 with a qualified person.",https://mistyvalleysupply.com/#/p/MVS-ANC-DL,386.00 USD,in_stock,new,Misty Valley Supply,Roof Safety,each,ANSI/ASSP Z359.18 Type A,4–6 days
MVS-YG-10,Yellow Steel Guardrail — 10 ft Rail,"Powder-coated safety yellow. Top rail 42 in, mid rail at 21 in, toe board where material can fall.",https://mistyvalleysupply.com/#/p/MVS-YG-10,172.00 USD,in_stock,new,Misty Valley Supply,Guardrail Systems,each,OSHA 1926.502(b),5–8 days
MVS-YG-POST,"Guardrail Post — Bolt-Down, Yellow",Baseplate with four anchors. Deflection under 200 lb must not bring top rail below 39 in.,https://mistyvalleysupply.com/#/p/MVS-YG-POST,96.00 USD,in_stock,new,Misty Valley Supply,Guardrail Systems,each,OSHA 1926.502(b),5–8 days
MVS-YG-TOE,"Toe Board — 4 in × 10 ft, Yellow","Minimum 3½ in vertical, withstands 50 lb. Required wherever people work or pass below.",https://mistyvalleysupply.com/#/p/MVS-YG-TOE,64.00 USD,in_stock,new,Misty Valley Supply,Guardrail Systems,each,OSHA 1926.502(j),5–8 days
MVS-HOLE-4,"Floor Hole Cover — 4 ft × 4 ft, Marked",Secured against displacement. Pre-marked HOLE. Twice the maximum intended load.,https://mistyvalleysupply.com/#/p/MVS-HOLE-4,128.00 USD,made_to_order,new,Misty Valley Supply,Guardrail Systems,each,OSHA 1926.502(i),5–7 days
MVS-HH-C1,"Hard Hat — Cap Style, Type I Class E","Type I protects the crown only. Class E tested to 20,000 V. Four-point ratchet.",https://mistyvalleysupply.com/#/p/MVS-HH-C1,19.50 USD,in_stock,new,Misty Valley Supply,Head Protection,each,ANSI/ISEA Z89.1 Type I Class E,2–4 days
MVS-HH-T2V,"Safety Helmet — Type II Class E, Vented","Type II adds lateral impact protection. Chin strap, accessory rails. Vented models are Class C unless stated — read the shell mark.",https://mistyvalleysupply.com/#/p/MVS-HH-T2V,89.00 USD,in_stock,new,Misty Valley Supply,Head Protection,each,ANSI/ISEA Z89.1 Type II Class E,2–4 days
MVS-HH-BRIM,"Hard Hat — Full Brim, Type I Class G","Class G tested to 2,200 V. Full brim sheds water and sun — the roofer's default.",https://mistyvalleysupply.com/#/p/MVS-HH-BRIM,27.00 USD,in_stock,new,Misty Valley Supply,Head Protection,each,ANSI/ISEA Z89.1 Type I Class G,2–4 days
MVS-SG-CLR,"Safety Glasses — Clear, Anti-Fog","The + means high impact: 6.35 mm steel ball at 150 ft/s, plus a 500 g pointed drop from 50 in. No mark, no protection.",https://mistyvalleysupply.com/#/p/MVS-SG-CLR,6.40 USD,in_stock,new,Misty Valley Supply,Eye Protection,each,ANSI/ISEA Z87.1 Z87+,2–4 days
MVS-SG-SMK,"Safety Glasses — Smoke, Z87+","Outdoor tint. Frame and lens both carry the mark — check both, that is where counterfeits fail.",https://mistyvalleysupply.com/#/p/MVS-SG-SMK,6.90 USD,in_stock,new,Misty Valley Supply,Eye Protection,each,ANSI/ISEA Z87.1 Z87+,2–4 days
MVS-GG-SEAL,Sealed Safety Goggle — Indirect Vent,"D3 splash rating. Required where grinding, cutting or chemical splash is present.",https://mistyvalleysupply.com/#/p/MVS-GG-SEAL,14.75 USD,in_stock,new,Misty Valley Supply,Eye Protection,each,ANSI/ISEA Z87.1 Z87+ D3,2–4 days
MVS-GL-A4,"Cut-Resistant Glove — Level A4, PU Palm","A4 is 1,500–2,199 g of cut resistance. The right default for sheet metal and stud handling.",https://mistyvalleysupply.com/#/p/MVS-GL-A4,8.20 USD,in_stock,new,Misty Valley Supply,Hand Protection,pair,ANSI/ISEA 105 Cut Level A4,2–4 days
MVS-GL-A6,"Cut-Resistant Glove — Level A6, Nitrile","A6 is 3,000–3,999 g. Glass handling, heavy gauge steel, demo.",https://mistyvalleysupply.com/#/p/MVS-GL-A6,13.40 USD,in_stock,new,Misty Valley Supply,Hand Protection,pair,ANSI/ISEA 105 Cut Level A6,2–4 days
MVS-GL-LEA,Leather Driver Glove — Grain Cowhide,"General handling only. If the task has a cut hazard, this is not the glove — and we will tell you so.",https://mistyvalleysupply.com/#/p/MVS-GL-LEA,5.60 USD,in_stock,new,Misty Valley Supply,Hand Protection,pair,No cut rating claimed,2–4 days
MVS-VS-C2,"Hi-Vis Vest — Class 2, Type R",Class 2 for traffic under 50 mph and complex backgrounds. Type R = roadway.,https://mistyvalleysupply.com/#/p/MVS-VS-C2,11.90 USD,in_stock,new,Misty Valley Supply,Hi-Vis Apparel,each,ANSI/ISEA 107 Type R Class 2,2–4 days
